"June, 2020","Dec, 2020","June, 2021","Dec, 2021","June, 2022","Dec,2022"
ADVANC,ADVANC,ADVANC,ADVANC,ADVANC,ADVANC
AOT,AOT,AOT,AOT,AOT,AOT
AWC,AWC,AWC,AWC,AWC,AWC
BANPU,BBL,BANPU,BANPU,BANPU,BANPU
BBL,BDMS,BBL,BBL,BBL,BBL
BDMS,BEM,BDMS,BDMS,BDMS,BDMS
BEM,BGRIM,BEM,BEM,BEM,BEM
BGRIM,BH,BGRIM,BGRIM,BGRIM,BGRIM
BH, BJC,BH,BH,BH,BH
BJC,BPP,BTS,BLA,BTS,BLA
BTS, BTS,CBG,BTS,CBG,BTS
CBG,CBG,COM7,CBG,COM7,CBG
CPALL, CPALL,CPALL,CPALL,CPALL,CPALL
CPF,CPF,CPF,CPF,CPF,CPF
CPN,CPN,CPN,CPN,CPN,CPN
CRC,CRC,CRC,CRC,CRC,CRC
DELTA,DTAC,DTAC,DTAC,DTAC,DTAC
DTAC,EA,EA,EA,EA,EA
EA,EGCO,EGCO,EGCO,EGCO,EGCO
EGCO,GLOBAL,GLOBAL,GLOBAL,GLOBAL,GLOBAL
GLOBAL,GPSC   ,GPSC,GPSC,GPSC,GPSC
GPSC,GULF,GULF,GULF,GULF,GULF
GULF,HMPRO,HMPRO,HMPRO,HMPRO,HMPRO
HMPRO,INTUCH,INTUCH,INTUCH,INTUCH,INTUCH
INTUCH, IRPC,IRPC,IRPC,IRPC,IRPC
IRPC,IVL,IVL,IVL,IVL,IVL
IVL,KBANK,KBANK,JMART,KBANK,JMART
KBANK,KTB,KCE,JMT,KCE,JMT
KTB,KTC          ,KTB,KBANK,KTB,KBANK
KTC,LH,KTC,KCE,KTC,KCE
LH,MINT,LH,KTB,LH,KTB
MINT,MTC,MINT,KTC,MINT,KTC
MTC,OSP,MTC,LH,MTC,LH
OSP,PTT,OR,MINT,OR,MINT
PTT,PTTEP,OSP,MTC,OSP,MTC
PTTEP,PTTGC,PTT,OR,PTT,OR
PTTGC,RATCH,PTTEP,OSP,PTTEP,OSP
RATCH,SAWAD,PTTGC,PTT,PTTGC,PTT
SAWAD,SCB,RATCH,PTTEP,RATCH,PTTEP
SCB,SCC,SAWAD,PTTGC,SAWAD,PTTGC
SCC,SCGP,SCB,SAWAD,SCB,SAWAD
TCAP,TISCO,SCC,SCB,SCC,SCB
TISCO,TMB,SCGP,SCC,SCGP,SCC
TMB,TOA,STGT,SCGP,STGT,SCGP
TOA,TOP,TIDLOR,TIDLOR,TIDLOR,TIDLOR
TOP,TRUE,TISCO,TISCO,TISCO,TISCO
TRUE,TTW,TOP,TOP,TOP,TOP
TU,TU,TRUE,TRUE,TRUE,TRUE
VGI,VGI,TTB,TTB,TTB,TTB
WHA,WHA,TU,TU,TU,TU
